Name,Title,Price,Availability,Description,Size,Dispatch
Diogo Jota,Diogo Jota Official UEFA Champions League Back Signed Liverpool FC 2021-22 Home Shirt,£349.99,In stock,"This shirt was personally signed by Liverpool FC star Diogo Jota during a private signing session organised and conducted by one of Icons' trusted partners. The shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Diogo Jota,Diogo Jota Back Signed Liverpool FC 2021-22 Home Shirt In Deluxe Packaging,£334.99,In stock,"This shirt was personally signed by Liverpool FC star Diogo Jota during a private signing session organised and conducted by one of Icons' trusted partners. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. This shirt comes presented in an Icons.com deluxe gift box, which helps protect and display your signed sports memorabilia, and is also perfect for gifting.",Approximate size: 375mm (H) x 315mm (W) x 40mm (D),Dispatch time: Usually dispatched within 2-3 working days
Diogo Jota,Diogo Jota Back Signed Liverpool FC 2021-22 Home Shirt In Classic Frame,£474.99,In stock,"This shirt was personally signed by Liverpool FC star Diogo Jota during a private signing session organised and conducted by one of Icons' trusted partners. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Presented in classic shirt framing that features elegant black moulding with silver inlay, luxurious double mount, two high resolution action photos and Icons.com branded plaque.",Approximate size: 885mm (H) x 780mm (W) x 30mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Diogo Jota,Diogo Jota Back Signed Liverpool FC 2021-22 Home Shirt In Hero Frame: Option 1,£499.99,In stock,"This shirt was personally signed by Liverpool FC star Diogo Jota during a private signing session organised and conducted by one of Icons' trusted partners. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Presented in hero shirt framing that features elegant black moulding with silver inlay, luxurious double mount, one large high resolution action photo and Icons.com branded plaque.",Approximate size: 1015mm (W) x 750mm (H) x 25mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Diogo Jota,Diogo Jota Official UEFA Champions League Back Signed and Framed Liverpool FC 2021-22 Home Shirt,£599.99,In stock,"This shirt was personally signed by Liverpool FC star Diogo Jota during a private signing session organised and conducted by one of Icons' trusted partners. The shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 875mm (H) x 785mm (W) x 38mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Diogo Jota,Diogo Jota Official UEFA Champions League Signed and Framed Liverpool FC 2020-21 Home Shirt With Fan Style Numbers,£499.99,In stock,"This Liverpool FC shirt was personally signed by Diogo Jota during a private signing session. The shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic memorabilia displayed in our stunning official UCL frame, capturing the spirit of football's premier club competition.",Approximate size: 875mm (H) x 785mm (W) x 38mm (D),Dispatch time: Usually dispatched within 8-10 working days
Diogo Jota,Diogo Jota Official UEFA Champions League Signed and Hero Framed Liverpool FC 2020-21 Home Shirt With Fan Style Numbers,£549.99,In stock,"This Liverpool FC shirt was personally signed by Diogo Jota during a private signing session. The shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic memorabilia displayed in our stunning official UCL frame, capturing the spirit of football's premier club competition.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Jorginho,Official UEFA EURO 2020 3D Mini Replica Trophy,£124.99,Out of stock,"This is a superb 150mm replica of the Henri Delaunay Trophy, the cup presented to the winners of UEFA EURO 2020. The trophy comes in an official UEFA EURO 2020 presentation box.",,
Jorginho,Official UEFA EURO 2020 3D Mini Replica Trophy On Pedestal,£74.99,Out of stock,"This is a superb 100mm replica of the Henri Delaunay Trophy, the cup presented to the winners of UEFA EURO 2020. The trophy, which sits on a cubic pedestal, comes in an official UEFA EURO 2020 presentation box.",,
Jorginho,Official UEFA Champions League 3D Mini Replica Trophy,£112.49,Out of stock,The official UEFA Champions League miniature replica trophy is 150mm tall and comes in official UEFA Champions League packaging.,,
Jorginho,Jorginho Back Signed Chelsea 2021-22 Home Shirt,£249.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Jorginho,Jorginho Back Signed SSC Napoli 2016-17 Home Shirt,£249.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Jorginho,Jorginho Signed Italy Photo: UEFA EURO 2020 Winner,£99.99,Out of stock,"This photo was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The photo comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Jorginho,Jorginho Signed White and Green Nike Tiempo Boot,£199.99,Out of stock,"This boot was personally signed by Jorginho during a private signing session in London in December 14th, 2021. The boot comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Jorginho,Jorginho Official UEFA Europa League Back Signed SSC Napoli 2016-17 Home Shirt,£299.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official UEFA Europa League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Jorginho,Jorginho Signed Italy Photo In Black Wooden Frame: UEFA EURO 2020 Winner,£149.99,Out of stock,"This photo was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The photo comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 570mm (H) x 470mm (W) x 30mm (D),Dispatch time: Usually dispatched within 3-4 working days
Jorginho,Jorginho Signed White and Orange Nike Tiempo Boot,£199.99,Out of stock,"This boot was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The boot comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Jorginho,Jorginho Signed White and Orange Nike Tiempo Boot In Deluxe Packaging,£234.99,Out of stock,"This boot was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The boot comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 340mm (W) x 220mm (H) x 110mm (D),Dispatch time: Usually dispatched within 2-3 working days
Jorginho,Jorginho Signed White and Orange Nike Tiempo Boot In Acrylic Case,£249.99,Out of stock,"This boot was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The boot comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 340mm (W) x 230mm (D) x 190mm (H),Dispatch time: Usually dispatched within 3-4 working days
Jorginho,Jorginho Signed White and Orange Nike Tiempo Boot In Bubble Frame: Italy Option,£349.99,Out of stock,"This boot was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The boot comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 610mm (W) x 520mm (H) x 127mm (D),Dispatch time: Usually dispatched within 8-10 working days
Jorginho,Jorginho Back Signed Chelsea 2021-22 Home Shirt In Deluxe Packaging,£284.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. This shirt comes presented in an Icons.com deluxe gift box, which helps protect and display your signed sports memorabilia, and is also perfect for gifting.",Approximate size: 375mm (H) x 315mm (W) x 40mm (D),Dispatch time: Usually dispatched within 2-3 working days
Jorginho,Jorginho Back Signed Chelsea 2021-22 Home Shirt In Classic Frame,£424.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Presented in classic shirt framing that features elegant black moulding with silver inlay, luxurious double mount, two high resolution action photos and Icons.com branded plaque.",Approximate size: 885mm (H) x 780mm (W) x 30mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Jorginho,Jorginho Back Signed Chelsea 2021-22 Home Shirt In Hero Frame: Option 1,£449.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Presented in hero shirt framing that features elegant black moulding with silver inlay, luxurious double mount, one large high resolution action photo and Icons.com branded plaque.",Approximate size: 1015mm (W) x 750mm (H) x 25mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Jorginho,Jorginho Back Signed SSC Napoli 2016-17 Home Shirt In Deluxe Packaging,£284.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. This shirt comes presented in an Icons.com deluxe gift box, which helps protect and display your signed sports memorabilia, and is also perfect for gifting.",Approximate size: 375mm (H) x 315mm (W) x 40mm (D),Dispatch time: Usually dispatched within 2-3 working days
Jorginho,Jorginho Back Signed SSC Napoli 2016-17 Home Shirt In Classic Frame,£424.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Presented in classic shirt framing that features elegant black moulding with silver inlay, luxurious double mount, two high resolution action photos and Icons.com branded plaque.",Approximate size: 885mm (H) x 780mm (W) x 30mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Jorginho,Jorginho Back Signed SSC Napoli 2016-17 Home Shirt In Hero Frame: Option 1,£449.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Presented in hero shirt framing that features elegant black moulding with silver inlay, luxurious double mount, one large high resolution action photo and Icons.com branded plaque.",Approximate size: 1015mm (W) x 750mm (H) x 25mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Jorginho,Jorginho Official FIFA World Cup Back Signed and Framed Italy 2020-21 Home Shirt,£799.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official FIFA World Cup Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 885mm (H) x 780mm (W) x 30mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Jorginho,Jorginho Official UEFA Champions League Back Signed and Framed Chelsea 2021-22 Home Shirt,£549.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Each signed shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine.",Approximate size: 885mm (H) x 780mm (W) x 30mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Jorginho,Jorginho Signed Chelsea Photo,£99.99,Out of stock,"This photo was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The photo comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Jorginho,Jorginho & Cesar Azpilicueta Signed Chelsea Shirts In Official UEFA Champions League Dual Frame,"£1,499.99",Out of stock,"This stunning 120cm x 90cm frame displays two signed Chelsea shirts side by side: one signed by Jorginho and the other signed by Cesar Azpilicueta. Every frame comes with an official UEFA Champions League Certificate of Authenticity for each shirt which gives details, where available, of the date and/or location at which the items were autographed. A spectacular homage to two great icons, this official UEFA Champions League Dual Frame is not to be missed!",Approximate size: 1000mm (H) x 1200mm (W) x 16mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Jorginho,Official UEFA Champions League 3D Mini Replica Trophy on Pedestal,£49.99,Out of stock,The official UEFA Champions League miniature replica trophy is 110mm tall by 45mm wide. The trophy itself is 70mm in height and 40mm at its widest. The special pedestal on which the trophy is mounted is 45mm wide and 40mm tall.,,
Jorginho,Jorginho Official UEFA EURO 2024 Back Signed and Framed Italy 2020-21 Home Shirt,£399.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official UEFA EURO 2024 Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 865mm (H) x 622mm (W) x 25mm (D),Dispatch time: Usually dispatched within 8-10 working days
Jorginho,Jorginho Official UEFA EURO 2024 Back Signed and Hero Framed Italy 2020-21 Home Shirt,£499.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official UEFA EURO 2024 Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Jorginho,Jorginho Official Chelsea FC Signed and Framed 2021-22 Home Shirt,£499.99,Out of stock,"This shirt was personally signed by Jorginho during a private signing session in London on December 14th, 2021. The shirt comes with an official Chelsea FC Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 1015mm (W) x 750mm (H) x 25mm (D),Dispatch time: Usually dispatched within 8-10 working days
Jorginho,Jorginho Signed UEFA Champions League Football,£199.99,In stock,"This excellent UEFA Champions League football was personally signed by Jorginho during a private signing session organised and conducted by Icons.com in London on December 14th, 2021. The ball comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is genuine.",,
Jorginho,Jorginho Signed UEFA Champions League Football In Acrylic Case,£249.99,In stock,"This excellent UEFA Champions League football was personally signed by Jorginho during a private signing session organised and conducted by Icons.com in London on December 14th, 2021. The ball comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is genuine.",Approximate size: 260mm (W) x 260mm (D) x 265mm (H),Dispatch time: Usually dispatched within 3-4 working days
Phil Jones,Phil Jones England Back Signed 2016-17 Home Shirt,£99.99,Out of stock,"This 2016-17 England shirt was personally signed by England defender Phil Jones during a squad signing session at St George's Park near Burton upon Trent on August 29th, 2017.",,
Phil Jones,Phil Jones Signed Plaque and Photo Frame: Anfield Victory,£99.99,In stock,"The plaque in this photo frame was personally signed by Phil Jones during a private signing session. The frame comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Gabriel Jesus,UNSIGNED Gabriel Jesus Manchester City 2017-18 Home Shirt,£54.99,In stock,"**Please note** This product is not signed.
This is an unsigned replica of a 2017-18 Manchester City home shirt. Printed on the back is the name of City star Gabriel Jesus along with his number 33.",,
Andres Iniesta,Andres Iniesta Official FC Barcelona Signed and Framed Montage Print,£249.99,In stock,"This photo was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The photo comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Andres Iniesta,Andres Iniesta Signed Official UEFA EURO 2024 Football in Acrylic Case,£499.99,In stock,"This ball was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The ball comes with an official UEFA EURO 2024 Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 260mm (W) x 260mm (D) x 265mm (H),Dispatch time: Usually dispatched within 3-4 working days
Andres Iniesta,Andres Iniesta Signed FC Barcelona Photo In Black Wooden Frame: Celebration vs Real Madrid,£149.99,In stock,"This photo was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The photo comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 570mm (H) x 470mm (W) x 30mm (D),Dispatch time: Usually dispatched within 3-4 working days
Andres Iniesta,Andres Iniesta Official UEFA Champions League Front Signed and Framed FC Barcelona 2003-04 Home Shirt,£599.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic memorabilia displayed in our stunning official UCL frame, capturing the spirit of football's premier club competition.",Approximate size: 875mm (H) x 785mm (W) x 38mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official UEFA Champions League Front Signed and Hero Framed FC Barcelona 2003-04 Home Shirt,£649.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic memorabilia displayed in our stunning official UCL frame, capturing the spirit of football's premier club competition.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed and Framed 2003-04 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed Player Issue FC Barcelona 2002-03 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed and Framed 2010-11 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed and Framed 2005-06 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed and Framed 2008-09 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed and Framed 2011-12 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed and Framed 2015-16 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed and Framed 2009-10 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Official FC Barcelona Front Signed and Framed 2002-03 Home Shirt,£549.99,In stock,"This FC Barcelona shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official FC Barcelona Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Usually dispatched within 8-10 working days
Andres Iniesta,Andres Iniesta Back Signed Spain 2010 Away Shirt In Deluxe Packaging,£334.99,In stock,"This Spain shirt was personally signed by Andres Iniesta during a private signing session in Dubai on April 11th, 2024. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. This shirt comes presented in an Icons.com deluxe gift box, which helps protect and display your signed sports memorabilia, and is also perfect for gifting.",Approximate size: 375mm (H) x 315mm (W) x 40mm (D),Dispatch time: Usually dispatched within 3-4 working days
